Timestamp,Flowrate (L/min),B2 - General - TGS2610 - V,B2 - General - TGS2611 - V,B2 - General - TGS2612 - V,B2 - General - MQ9_b - V,B2 - BME680 - temperature - °C,B2 - BME680 - temperature - V,B2 - BME680 - pressure - KPa,B2 - BME680 - pressure - V,B2 - BME680 - humidity - %,B2 - BME680 - humidity - V,B2 - BME680 - gas - Kohms,B2 - BME680 - gas - V,B2 - SGP41 - SRAW_VOC - raw,B2 - SGP41 - SRAW_NOx - raw,B1 - General - TGS2600 - V,B1 - General - TGS2602 - V,B1 - General - TGS2603 - V,B1 - General - MQ2 - V,B1 - Multichannel Gas Sensor - GM102B (NO2) - ppm,B1 - Multichannel Gas Sensor - GM102B (NO2) - V,B1 - Multichannel Gas Sensor - GM302B (C2H5CH) - ppm,B1 - Multichannel Gas Sensor - GM302B (C2H5CH) - V,B1 - Multichannel Gas Sensor - GM502B (VOC) - ppm,B1 - Multichannel Gas Sensor - GM502B (VOC) - V,B1 - Multichannel Gas Sensor - GM702B (CO) - ppm,B1 - Multichannel Gas Sensor - GM702B (CO) - V,B1 - SGP30 - tVOC - ppb,B1 - SGP30 - tVOC - V,B1 - SGP30 - CO2eq - ppm,B1 - SGP30 - CO2eq - V,B1 - BME688 - temperature - °C,B1 - BME688 - temperature - V,B1 - BME688 - pressure - KPa,B1 - BME688 - pressure - V,B1 - BME688 - humidity - %,B1 - BME688 - humidity - V,B1 - BME688 - gas - Kohms,B1 - BME688 - gas - V,B1 - Formaldehyde - hcho - ppb,B1 - Formaldehyde - hcho - V,B1 - Formaldehyde - humidity - %,B1 - Formaldehyde - humidity - V,B1 - Formaldehyde - temperature - °C,B1 - Formaldehyde - temperature - V
16-07-2025 14:43:17,1.0,1.53,0.18,0.45,0.18,24.66 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,82.90 Kohms,0.17,31603,0,2.09,1.94,2.82,0.35,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,504 ppb,0.027,1184ppm,0.04,26.52 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.55 %,0.82,26.03 °C,2.17
16-07-2025 14:43:22,1.0,1.18,0.19,0.46,0.19,24.66 °C,1.69,94.66 KPa,2.67,29.43 %,0.96,82.98 Kohms,0.17,31614,0,1.89,1.95,2.85,0.33,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,93 ppm,0.30,513 ppb,0.028,1183ppm,0.04,26.52 °C,1.74,94.68 KPa,2.67,37.35 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.55 %,0.82,26.05 °C,2.17
16-07-2025 14:43:27,1.0,1.26,0.18,0.45,0.18,24.66 °C,1.69,94.66 KPa,2.67,29.42 %,0.96,83.14 Kohms,0.17,31612,0,1.94,1.95,2.82,0.34,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,509 ppb,0.027,1187ppm,0.04,26.52 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.54 %,0.82,26.04 °C,2.17
16-07-2025 14:43:32,1.0,1.83,0.19,0.45,0.19,24.66 °C,1.69,94.67 KPa,2.67,29.44 %,0.96,83.56 Kohms,0.18,31598,0,2.01,1.94,2.85,0.36,260 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,501 ppb,0.027,1170ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.35 %,1.22,12946.86 Kohms,27.19,30.00 ppb,0.099,25.54 %,0.82,26.05 °C,2.17
16-07-2025 14:43:37,1.0,2.02,0.18,0.46,0.19,24.66 °C,1.69,94.66 KPa,2.67,29.44 %,0.96,82.90 Kohms,0.17,31611,0,1.84,1.95,2.81,0.36,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,511 ppb,0.028,1192ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.00 ppb,0.099,25.54 %,0.82,26.03 °C,2.17
16-07-2025 14:43:42,1.0,1.51,0.18,0.45,0.18,24.67 °C,1.69,94.66 KPa,2.67,29.43 %,0.96,82.90 Kohms,0.17,31622,0,2.09,1.97,2.85,0.36,260 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,517 ppb,0.028,1187ppm,0.04,26.52 °C,1.74,94.68 KPa,2.67,37.35 %,1.22,12946.86 Kohms,27.19,30.00 ppb,0.099,25.55 %,0.82,26.05 °C,2.17
16-07-2025 14:43:47,1.0,1.13,0.19,0.46,0.19,24.66 °C,1.69,94.66 KPa,2.67,29.42 %,0.96,83.73 Kohms,0.18,31598,0,1.81,1.97,2.85,0.35,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,510 ppb,0.028,1197ppm,0.04,26.52 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,30.20 ppb,0.099,25.55 %,0.82,26.05 °C,2.17
16-07-2025 14:43:52,1.0,1.43,0.19,0.46,0.19,24.67 °C,1.69,94.66 KPa,2.67,29.42 %,0.96,83.14 Kohms,0.17,31595,0,2.0,1.97,2.82,0.33,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,512 ppb,0.028,1192ppm,0.04,26.52 °C,1.74,94.68 KPa,2.67,37.37 %,1.22,12946.86 Kohms,27.19,30.40 ppb,0.099,25.55 %,0.82,26.06 °C,2.17
16-07-2025 14:43:57,1.0,1.93,0.19,0.45,0.19,24.67 °C,1.69,94.66 KPa,2.67,29.41 %,0.96,83.23 Kohms,0.17,31594,0,1.95,1.95,2.82,0.33,259 ppm,0.84,406 ppm,1.31,112 ppm,0.36,92 ppm,0.30,515 ppb,0.028,1215ppm,0.05,26.52 °C,1.74,94.68 KPa,2.67,37.35 %,1.22,12946.86 Kohms,27.19,30.80 ppb,0.099,25.55 %,0.82,26.06 °C,2.17
16-07-2025 14:44:02,1.0,1.98,0.18,0.46,0.19,24.67 °C,1.69,94.66 KPa,2.67,29.42 %,0.96,82.90 Kohms,0.17,31592,0,1.85,1.95,2.85,0.33,260 ppm,0.84,407 ppm,1.31,112 ppm,0.36,92 ppm,0.30,501 ppb,0.027,1185ppm,0.04,26.51 °C,1.74,94.68 KPa,2.67,37.36 %,1.22,12946.86 Kohms,27.19,31.00 ppb,0.102,25.55 %,0.82,26.07 °C,2.17
